"id","lang","lang_key","lang_value","created_at","updated_at"
"1","en","all_products","All products
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"2","en","add_new_product","Add New Product","31/10/2021 14:41:09","31/10/2021 14:41:09"
"3","en","sort_by","Sort by
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"4","en","rating_high__low","Rating (High > Low)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"5","en","rating_low__high","Rating (Low > High)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"6","en","num_of_sale_high__low","Num of Sale (High > Low)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"7","en","num_of_sale_low__high","Num of Sale (Low > High)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"8","en","base_price_high__low","Base Price (High > Low)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"9","en","base_price_low__high","Base Price (Low > High)","31/10/2021 14:41:09","31/10/2021 14:41:09"
"10","en","type__enter","Type & Enter","31/10/2021 14:41:09","31/10/2021 14:41:09"
"11","en","name","Name
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"12","en","info","Info
","31/10/2021 14:41:09","13/3/2022 11:14:03"
"13","en","categories","Categories
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"14","en","brand","Brand
","31/10/2021 14:41:09","17/7/2024 06:54:01"
"15","en","published","Published","31/10/2021 14:41:09","31/10/2021 14:41:09"
"16","en","options","Options
","31/10/2021 14:41:09","31/10/2021 14:45:43"
"17","en","rating","Rating
","31/10/2021 14:41:09","31/10/2021 14:45:44"
"18","en","toal_sold","Toal Sold","31/10/2021 14:41:09","31/10/2021 14:41:09"
"19","en","price","Price
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"20","en","edit","Edit
","31/10/2021 14:41:09","31/10/2021 14:45:43"
"21","en","duplicate","Duplicate","31/10/2021 14:41:09","31/10/2021 14:41:09"
"22","en","delete","Delete
","31/10/2021 14:41:09","31/10/2021 14:45:43"
"23","en","delete_confirmation","Delete Confirmation","31/10/2021 14:41:09","31/10/2021 14:41:09"
"24","en","are_you_sure_to_delete_this","Are you sure to delete this?","31/10/2021 14:41:09","31/10/2021 14:41:09"
"25","en","all_data_related_to_this_will_be_deleted","All data related to this will be deleted.","31/10/2021 14:41:09","31/10/2021 14:41:09"
"26","en","cancel","Cancel
","31/10/2021 14:41:09","31/10/2021 14:45:42"
"27","en","yes_delete","Yes, Delete","31/10/2021 14:41:09","31/10/2021 14:41:09"
"28","en","published_products_updated_successfully","Published products updated successfully","31/10/2021 14:41:09","31/10/2021 14:41:09"
"29","en","something_went_wrong","Something went wrong
","31/10/2021 14:41:09","3/11/2021 15:08:21"
"30","en","nothing_selected","Nothing selected","31/10/2021 14:41:09","31/10/2021 14:41:09"
"31","en","nothing_found","Nothing found","31/10/2021 14:41:09","31/10/2021 14:41:09"
"32","en","choose_file","Choose file","31/10/2021 14:41:09","31/10/2021 14:41:09"
"33","en","file_selected","File selected","31/10/2021 14:41:09","31/10/2021 14:41:09"
"34","en","files_selected","Files selected","31/10/2021 14:41:09","31/10/2021 14:41:09"
"35","en","add_more_files","Add more files","31/10/2021 14:41:09","31/10/2021 14:41:09"
"36","en","adding_more_files","Adding more files","31/10/2021 14:41:09","31/10/2021 14:41:09"
"37","en","drop_files_here_paste_or","Drop files here, paste or","31/10/2021 14:41:09","31/10/2021 14:41:09"
"38","en","browse","Browse","31/10/2021 14:41:09","31/10/2021 14:41:09"
"39","en","upload_complete","Upload complete","31/10/2021 14:41:09","31/10/2021 14:41:09"
"40","en","upload_paused","Upload paused","31/10/2021 14:41:09","31/10/2021 14:41:09"
"41","en","resume_upload","Resume upload","31/10/2021 14:41:09","31/10/2021 14:41:09"
"42","en","pause_upload","Pause upload","31/10/2021 14:41:09","31/10/2021 14:41:09"
"43","en","retry_upload","Retry upload","31/10/2021 14:41:09","31/10/2021 14:41:09"
"44","en","cancel_upload","Cancel upload","31/10/2021 14:41:09","31/10/2021 14:41:09"
"45","en","uploading","Uploading","31/10/2021 14:41:09","31/10/2021 14:41:09"
"46","en","processing","Processing","31/10/2021 14:41:09","31/10/2021 14:41:09"
"47","en","complete","Complete","31/10/2021 14:41:09","31/10/2021 14:41:09"
"48","en","file","File","31/10/2021 14:41:09","31/10/2021 14:41:09"
"49","en","files","Files","31/10/2021 14:41:09","31/10/2021 14:41:09"
"50","en","dashboard","Dashboard
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"51","en","product","Product
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"52","en","products","products
","31/10/2021 14:41:09","31/10/2021 14:45:41"
"53","en","category","Category","31/10/2021 14:41:09","31/10/2021 14:41:09"
"54","en","attributes","Attributes","31/10/2021 14:41:09","31/10/2021 14:41:09"
"55","en","reviews","Reviews","31/10/2021 14:41:09","31/10/2021 14:41:09"
"56","en","orders","Orders","31/10/2021 14:41:09","31/10/2021 14:41:09"
"57","en","customers","Customers","31/10/2021 14:41:09","31/10/2021 14:41:09"
"58","en","marketing","Marketing","31/10/2021 14:41:09","31/10/2021 14:41:09"
"59","en","offers","Offers","31/10/2021 14:41:09","31/10/2021 14:41:09"
"60","en","newsletters","Newsletters","31/10/2021 14:41:09","31/10/2021 14:41:09"
"61","en","subscribers","Subscribers","31/10/2021 14:41:09","31/10/2021 14:41:09"
"62","en","coupon","Coupon","31/10/2021 14:41:09","31/10/2021 14:41:09"
"63","en","uploaded_files","Uploaded Files","31/10/2021 14:41:09","31/10/2021 14:41:09"
"64","en","support","Support","31/10/2021 14:41:09","31/10/2021 14:41:09"
"65","en","website_setup","Website Setup","31/10/2021 14:41:09","31/10/2021 14:41:09"
"66","en","header","Header","31/10/2021 14:41:09","31/10/2021 14:41:09"
"67","en","footer","Footer","31/10/2021 14:41:09","31/10/2021 14:41:09"
"68","en","banners","Banners","31/10/2021 14:41:09","31/10/2021 14:41:09"
"69","en","pages","Pages","31/10/2021 14:41:09","31/10/2021 14:41:09"
"70","en","appearance","Appearance","31/10/2021 14:41:10","31/10/2021 14:41:10"
"71","en","settings","Settings","31/10/2021 14:41:10","31/10/2021 14:41:10"
"72","en","general_settings","General Settings","31/10/2021 14:41:10","31/10/2021 14:41:10"
"73","en","languages","Languages","31/10/2021 14:41:10","31/10/2021 14:41:10"
"74","en","currency","Currency","31/10/2021 14:41:10","31/10/2021 14:41:10"
"75","en","smtp_settings","SMTP Settings","31/10/2021 14:41:10","31/10/2021 14:41:10"
"76","en","payment_methods","Payment Methods","31/10/2021 14:41:10","31/10/2021 14:41:10"
"77","en","file_system_configuration","File System Configuration","31/10/2021 14:41:10","31/10/2021 14:41:10"
"78","en","social_media_logins","Social media Logins","31/10/2021 14:41:10","31/10/2021 14:41:10"
"79","en","third_party_settings","Third Party Settings","31/10/2021 14:41:10","31/10/2021 14:41:10"
"80","en","shipping","Shipping","31/10/2021 14:41:10","31/10/2021 14:41:10"
"81","en","shipping_countries","Shipping Countries","31/10/2021 14:41:10","31/10/2021 14:41:10"
"82","en","shipping_states","Shipping States","31/10/2021 14:41:10","31/10/2021 14:41:10"
"83","en","shipping_cities","Shipping Cities","31/10/2021 14:41:10","31/10/2021 14:41:10"
"84","en","shipping_zones","Shipping Zones","31/10/2021 14:41:10","31/10/2021 14:41:10"
"85","en","tax","Tax
","31/10/2021 14:41:10","31/10/2021 14:45:42"
"86","en","staffs","Staffs","31/10/2021 14:41:10","31/10/2021 14:41:10"
"87","en","all_staffs","All Staffs","31/10/2021 14:41:10","31/10/2021 14:41:10"
"88","en","roles","Roles","31/10/2021 14:41:10","31/10/2021 14:41:10"
"89","en","system","System","31/10/2021 14:41:10","31/10/2021 14:41:10"
"90","en","update","Update
","31/10/2021 14:41:10","31/10/2021 14:45:42"
"91","en","server_status","Server status","31/10/2021 14:41:10","31/10/2021 14:41:10"
"92","en","addon_manager","Addon Manager","31/10/2021 14:41:10","31/10/2021 14:41:10"
"93","en","browse_website","Browse Website","31/10/2021 14:41:10","31/10/2021 14:41:10"
"94","en","add_new","Add New
","31/10/2021 14:41:10","31/10/2021 14:45:42"
"95","en","add_new_coupon","Add new coupon","31/10/2021 14:41:10","31/10/2021 14:41:10"
"96","en","add_new_offer","Add New Offer","31/10/2021 14:41:10","31/10/2021 14:41:10"
"97","en","add_new_staff","Add New Staff","31/10/2021 14:41:10","31/10/2021 14:41:10"
"98","en","notifications","Notifications","31/10/2021 14:41:10","31/10/2021 14:41:10"
"99","en","new_notification","New Notification","31/10/2021 14:41:10","31/10/2021 14:41:10"
"100","en","profile","Profile
","31/10/2021 14:41:10","31/10/2021 14:45:43"
"101","en","logout","Logout
","31/10/2021 14:41:10","31/10/2021 14:45:41"
"102","en","edit_product","Edit Product","31/10/2021 14:41:32","31/10/2021 14:41:32"
"103","en","product_information","Product Information","31/10/2021 14:41:32","31/10/2021 14:41:32"
"104","en","product_name","Product Name
","31/10/2021 14:41:32","17/5/2022 11:03:21"
"105","en","translatable","Translatable","31/10/2021 14:41:32","31/10/2021 14:41:32"
"106","en","unit","Unit","31/10/2021 14:41:32","31/10/2021 14:41:32"
"107","en","unit_eg_500_gram_2_litre_5_pc_etc","Unit (e.g. 500 Gram, 2 Litre, 5 Pc etc)","31/10/2021 14:41:32","31/10/2021 14:41:32"
"108","en","minimum_purchase_qty","Minimum Purchase Qty","31/10/2021 14:41:32","31/10/2021 14:41:32"
"109","en","customer_need_to_purchase_this_minimum_quatity_for_this_product_minimum_should_be_1","Customer need to purchase this minimum quatity for this product. Minimum should be 1.","31/10/2021 14:41:32","31/10/2021 14:41:32"
"110","en","maximum_purchase_qty","Maximum Purchase Qty","31/10/2021 14:41:32","31/10/2021 14:41:32"
"111","en","customer_will_be_able_to_purchase_this_maximum_quatity_for_this_product_default_0_for_unlimited","Customer will be able to purchase this maximum quatity for this product. Default 0 for unlimited.","31/10/2021 14:41:32","31/10/2021 14:41:32"
"112","en","product_images","Product Images","31/10/2021 14:41:32","31/10/2021 14:41:32"
"113","en","thumbnail_image","Thumbnail Image","31/10/2021 14:41:32","31/10/2021 14:41:32"
"114","en","this_image_is_visible_in_all_product_box_use_300x300_sizes_image_keep_some_blank_space_around_the_main_object_of_your_image_as_we_had_to_crop_some_edge_in_different_devices_to_make_it_responsive","This image is visible in all product box. Use 300x300 sizes image. Keep some blank space around the main object of your image as we had to crop some edge in different devices to make it responsive.","31/10/2021 14:41:32","31/10/2021 14:41:32"
"115","en","gallery_images","Gallery Images","31/10/2021 14:41:32","31/10/2021 14:41:32"
"116","en","these_images_are_visible_in_the_product_details_page_gallery_use_600x600_or_higher_sizes_images_for_better_quality_but_try_to_keep_file_size_low_as_itll_increase_page_load_time","These images are visible in the product details page gallery. Use 600x600 or higher sizes images for better quality. But try to keep file size low as it'll increase page load time.","31/10/2021 14:41:33","31/10/2021 14:41:33"
"117","en","product_price_stock","Product price, stock","31/10/2021 14:41:33","31/10/2021 14:41:33"
"118","en","variant_product","Variant Product","31/10/2021 14:41:33","31/10/2021 14:41:33"
"119","en","regular_price","Regular price","31/10/2021 14:41:33","31/10/2021 14:41:33"
"120","en","sku","SKU","31/10/2021 14:41:33","31/10/2021 14:41:33"
"121","en","stock","Stock","31/10/2021 14:41:33","31/10/2021 14:41:33"
"122","en","in_stock","In Stock
","31/10/2021 14:41:33","31/10/2021 14:45:42"
"123","en","out_of_stock","Out of Stock
","31/10/2021 14:41:33","31/10/2021 14:45:42"
"124","en","select_an_option_for_this_product_and_then_select_choices_of_each_option_max_3_options","Select an option for this product and then select choices of each option. Max 3 options","31/10/2021 14:41:33","31/10/2021 14:41:33"
"125","en","select_an_option","Select an option","31/10/2021 14:41:33","31/10/2021 14:41:33"
"126","en","variant","Variant","31/10/2021 14:41:33","31/10/2021 14:41:33"
"127","en","variant_price","Variant Price","31/10/2021 14:41:33","31/10/2021 14:41:33"
"128","en","image","Image
","31/10/2021 14:41:33","17/7/2024 06:54:01"
"129","en","product_discount","Product Discount","31/10/2021 14:41:33","31/10/2021 14:41:33"
"130","en","discount_date_range","Discount Date Range","31/10/2021 14:41:33","31/10/2021 14:41:33"
"131","en","discount","Discount
","31/10/2021 14:41:33","31/10/2021 14:45:42"
"132","en","flat","Flat","31/10/2021 14:41:33","31/10/2021 14:41:33"
"133","en","percent","Percent","31/10/2021 14:41:33","31/10/2021 14:41:33"
"134","en","shipping_information","Shipping Information","31/10/2021 14:41:33","31/10/2021 14:41:33"
"135","en","standard_delivery_time","Standard delivery time","31/10/2021 14:41:33","31/10/2021 14:41:33"
"136","en","express_delivery_time","Express delivery time","31/10/2021 14:41:33","31/10/2021 14:41:33"
"137","en","weight","Weight","31/10/2021 14:41:33","31/10/2021 14:41:33"
"138","en","height","Height","31/10/2021 14:41:33","31/10/2021 14:41:33"
"139","en","length","Length","31/10/2021 14:41:33","31/10/2021 14:41:33"
"140","en","width","Width","31/10/2021 14:41:33","31/10/2021 14:41:33"
"141","en","product_description","Product Description","31/10/2021 14:41:33","31/10/2021 14:41:33"
"142","en","description","Description
","31/10/2021 14:41:33","31/10/2021 14:45:43"
"143","en","product_attributes","Product attributes","31/10/2021 14:41:33","31/10/2021 14:41:33"
"144","en","add_new_attribute","Add new attribute","31/10/2021 14:41:33","31/10/2021 14:41:33"
"145","en","these_attributes_will_be_used_only_for_filtering","These attributes will be used only for filtering.","31/10/2021 14:41:33","31/10/2021 14:41:33"
"146","en","seo_meta_tags","SEO Meta Tags","31/10/2021 14:41:33","31/10/2021 14:41:33"
"147","en","meta_title","Meta Title","31/10/2021 14:41:33","31/10/2021 14:41:33"
"148","en","meta_image","Meta Image","31/10/2021 14:41:33","31/10/2021 14:41:33"
"149","en","slug","Slug","31/10/2021 14:41:33","31/10/2021 14:41:33"
"150","en","product_status","Product Status","31/10/2021 14:41:33","31/10/2021 14:41:33"
"151","en","draft","Draft","31/10/2021 14:41:33","31/10/2021 14:41:33"
"152","en","product_brand","Product Brand","31/10/2021 14:41:33","31/10/2021 14:41:33"
"153","en","select_brand","Select Brand","31/10/2021 14:41:33","31/10/2021 14:41:33"
"154","en","product_category","Product Category","31/10/2021 14:41:33","31/10/2021 14:41:33"
"155","en","product_tags","Product Tags","31/10/2021 14:41:33","31/10/2021 14:41:33"
"156","en","type_and_hit_enter_to_add_a_tag","Type and hit enter to add a tag","31/10/2021 14:41:33","31/10/2021 14:41:33"
"157","en","these_will_be_used_for_product_search","These will be used for product search.","31/10/2021 14:41:33","31/10/2021 14:41:33"
"158","en","vat__tax","VAT & Tax","31/10/2021 14:41:33","31/10/2021 14:41:33"
"159","en","sorry_for_the_inconvenience_but_were_working_on_it","Sorry for the inconvenience, but we're working on it.","31/10/2021 14:41:33","31/10/2021 14:41:33"
"160","en","error_code","Error code","31/10/2021 14:41:33","31/10/2021 14:41:33"
"161","en","warranty","Warranty","31/10/2021 14:43:59","31/10/2021 14:43:59"
"162","en","warranty_available_for_this_product","Warranty available for this product?","31/10/2021 14:43:59","31/10/2021 14:43:59"
"163","en","update_product","Update Product","31/10/2021 14:43:59","31/10/2021 14:43:59"
"164","en","please_select_an_attribute","Please select an attribute.","31/10/2021 14:43:59","31/10/2021 14:43:59"
"165","en","no_more_arrtribute_found","No more arrtribute found.","31/10/2021 14:43:59","31/10/2021 14:43:59"
"166","en","maximum_option_limit_reached","Maximum option limit reached.","31/10/2021 14:43:59","31/10/2021 14:43:59"
"167","en","please_select_an_option","Please select an option.","31/10/2021 14:43:59","31/10/2021 14:43:59"
"168","en","no_more_option_found","No more option found.","31/10/2021 14:43:59","31/10/2021 14:43:59"
